# Matter power spectrum P(k) for dark radiation density isocurvature (DRID) mode at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       5.976158986563e-01       4.704455045194e+00 
       6.008721490336e-01       4.653625331875e+00 
       6.041283995096e-01       4.603616505405e+00 
       6.073846500827e-01       4.554169974257e+00 
       6.106409007513e-01       4.505054610138e+00 
       6.138971515139e-01       4.456230316452e+00 
       6.171534023690e-01       4.407716959371e+00 
       6.204096533152e-01       4.359776066189e+00 
       6.236659043511e-01       4.312622664946e+00 
       6.269221554752e-01       4.266324940583e+00 
       6.301784066861e-01       4.220959822494e+00 
       6.334346579825e-01       4.176294656247e+00 
       6.366909093632e-01       4.132108479961e+00 
       6.399471608267e-01       4.088404434821e+00 
       6.432034123720e-01       4.045483526523e+00 
       6.464596639976e-01       4.003339307513e+00 
       6.497159157024e-01       3.962001555580e+00 
       6.529721674852e-01       3.921557242216e+00 
       6.562284193449e-01       3.881949059225e+00 
       6.594846712803e-01       3.842872586778e+00 
       6.627409232903e-01       3.804202646101e+00 
       6.659971753738e-01       3.765910759424e+00 
       6.692534275297e-01       3.727995917259e+00 
       6.725096797569e-01       3.690606103114e+00 
       6.757659320545e-01       3.653811213143e+00 
       6.790221844214e-01       3.617695128411e+00 
       6.822784368567e-01       3.582119429316e+00 
       6.855346893592e-01       3.546942176449e+00 
       6.887909419282e-01       3.512060967558e+00 
       6.920471945626e-01       3.477458598420e+00 
       6.953034472615e-01       3.443225844672e+00 
       6.985597000240e-01       3.409518674632e+00 
       7.018159528493e-01       3.376421093352e+00 
       7.050722057365e-01       3.343939510038e+00 
       7.083284586846e-01       3.312001531662e+00 
       7.115847116929e-01       3.280478143536e+00 
       7.148409647606e-01       3.249267714637e+00 
       7.180972178868e-01       3.218368875621e+00 
       7.213534710707e-01       3.187833195544e+00 
       7.246097243116e-01       3.157784865933e+00 
       7.278659776087e-01       3.128273405059e+00 
       7.311222309613e-01       3.099297767126e+00 
       7.343784843685e-01       3.070739403900e+00 
       7.376347378297e-01       3.042483956324e+00 
       7.408909913442e-01       3.014460580365e+00 
       8.034868125329e-01       2.538781824454e+00 
       8.906676422973e-01       2.036419787310e+00 
       1.024486229509e+00       1.501983637263e+00 
       1.241385322182e+00       9.813956107078e-01 
       1.555309493289e+00       5.892151392477e-01 
