# Matter power spectrum P(k) at redshift z=0
# for k=1.02841e-05 to 1.55531 h/Mpc,
# number of wavenumbers equal to 600
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.936782661753e-02       1.473066874860e+04 
       3.955671618032e-02       1.465553999713e+04 
       3.974730164770e-02       1.458046348143e+04 
       3.993964681935e-02       1.450546561198e+04 
       4.013381876301e-02       1.443061158601e+04 
       4.032988803607e-02       1.435572294538e+04 
       4.052792892625e-02       1.428096145016e+04 
       4.072801971300e-02       1.420624825649e+04 
       4.093024295208e-02       1.413160380303e+04 
       4.113468578558e-02       1.405698114112e+04 
       4.134144028033e-02       1.398242407799e+04 
       4.155060379763e-02       1.390785570700e+04 
       4.176227939797e-02       1.383338381948e+04 
       4.197657628467e-02       1.375891469196e+04 
       4.219361029095e-02       1.368442618184e+04 
       4.241350441563e-02       1.361001457780e+04 
       4.263638941325e-02       1.353555539565e+04 
       4.286240444534e-02       1.346110781751e+04 
       4.309169780052e-02       1.338665334658e+04 
       4.332442769209e-02       1.331212311183e+04 
       4.356076314340e-02       1.323759547408e+04 
       4.380088497240e-02       1.316303805414e+04 
       4.404498688909e-02       1.308836326321e+04 
       4.429327672121e-02       1.301363868294e+04 
       4.454597778650e-02       1.293883713854e+04 
       4.480333043253e-02       1.286387293401e+04 
       4.506559376895e-02       1.278887701733e+04 
       4.533304762093e-02       1.271371109428e+04 
       4.560599473824e-02       1.263835772802e+04 
       4.588476329991e-02       1.256287236712e+04 
       4.616970976244e-02       1.248714816708e+04 
       4.646122210828e-02       1.241120234342e+04 
       4.675972356217e-02       1.233506076782e+04 
       4.706567685674e-02       1.225860865106e+04 
       4.737958914479e-02       1.218184348111e+04 
       4.770201767611e-02       1.210475339284e+04 
       4.803357638187e-02       1.202729750469e+04 
       4.837494354041e-02       1.194939515179e+04 
       4.872687073731e-02       1.187107438000e+04 
       4.909019338088e-02       1.179222065950e+04 
       4.946584309549e-02       1.171283738001e+04 
       4.985486239192e-02       1.163280656079e+04 
       5.025842211141e-02       1.155212303929e+04 
       5.067784226391e-02       1.147066861126e+04 
       5.111461703865e-02       1.138836353113e+04 
       5.157044496582e-02       1.130511196935e+04 
       5.204726546434e-02       1.122081110179e+04 
       5.254730333605e-02       1.113533589086e+04 
       5.307312317779e-02       1.104847904769e+04 
       5.362769619685e-02       1.096010380715e+04 
       5.421448254396e-02       1.087000533668e+04 
       5.483753302069e-02       1.077784876162e+04 
       5.550161483578e-02       1.068338085113e+04 
       5.621236685917e-02       1.058607096431e+04 
       5.697649026558e-02       1.048551193325e+04 
       5.780197994418e-02       1.038101896667e+04 
       5.869839929942e-02       1.027168923296e+04 
       5.967719360637e-02       1.015638887134e+04 
       6.075202039364e-02       1.003357599796e+04 
       6.193904182044e-02       9.901222306371e+03 
       6.325706278833e-02       9.756582707865e+03 
       6.472729914943e-02       9.595949112631e+03 
