# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  127       6.098633037147e-10       3.245805800224e-13      -4.509053566354e-12       8.389170082625e-16       4.868180534427e-12       8.367588898736e-13      -5.542852570595e-15 
  128       6.139684799714e-10       3.284136594068e-13      -4.621907995977e-12       8.519091519074e-16       4.762347361195e-12       8.232192649491e-13      -5.489876504959e-15 
  129       6.180972050469e-10       3.321735247696e-13      -4.733795666843e-12       8.650090306488e-16       4.659132804883e-12       8.099269471862e-13      -5.435778645496e-15 
  130       6.222491302944e-10       3.358578303815e-13      -4.844628885937e-12       8.782174764366e-16       4.558503939888e-12       7.968797683242e-13      -5.380529501506e-15 
  131       6.264241483300e-10       3.394643498522e-13      -4.954320716558e-12       8.915353440255e-16       4.460469997601e-12       7.840831726601e-13      -5.324231431771e-15 
  132       6.306220145810e-10       3.429909047078e-13      -5.062784058874e-12       9.049635197663e-16       4.365028764603e-12       7.715414866051e-13      -5.266990772945e-15 
  133       6.348423431092e-10       3.464353662698e-13      -5.169931684794e-12       9.185029220448e-16       4.272166265591e-12       7.592578847491e-13      -5.208917881246e-15 
  134       6.390846024340e-10       3.497956575349e-13      -5.275676272836e-12       9.321545017212e-16       4.181856446307e-12       7.472343559244e-13      -5.150127174154e-15 
  135       6.433481113557e-10       3.530697550534e-13      -5.379930442996e-12       9.459192425690e-16       4.094060856472e-12       7.354716692693e-13      -5.090737172100e-15 
  136       6.476320347791e-10       3.562556908089e-13      -5.482606791618e-12       9.597981617147e-16       4.008728332707e-12       7.239693402922e-13      -5.030870540163e-15 
  137       6.519353795362e-10       3.593515540973e-13      -5.583617926266e-12       9.737923100765e-16       3.925794681472e-12       7.127255969355e-13      -4.970654129766e-15 
  138       6.562569902100e-10       3.623554934058e-13      -5.682876500589e-12       9.879027728039e-16       3.845182361986e-12       7.017373456390e-13      -4.910219020366e-15 
  139       6.605955449575e-10       3.652657182924e-13      -5.780295249196e-12       1.002130669717e-15       3.766800169164e-12       6.910001374043e-13      -4.849700561151e-15 
  140       6.649495513331e-10       3.680805012649e-13      -5.875787022522e-12       1.016477155744e-15       3.690542916541e-12       6.805081338584e-13      -4.789238412733e-15 
  141       6.693173421118e-10       3.707981796599e-13      -5.969264821700e-12       1.030943421364e-15       3.616291119204e-12       6.702540733172e-13      -4.728976588844e-15 
  142       6.736970711123e-10       3.734171575223e-13      -6.060641833428e-12       1.045530693042e-15       3.543910676719e-12       6.602292368499e-13      -4.669063498027e-15 
  143       6.780867090206e-10       3.759359074842e-13      -6.149831464842e-12       1.060240233672e-15       3.473252556064e-12       6.504234143427e-13      -4.609651985331e-15 
  144       6.824843548957e-10       3.783530282328e-13      -6.236748512032e-12       1.075073246274e-15       3.404183941637e-12       6.408271131911e-13      -4.550869856250e-15 
  145       6.868892141160e-10       3.806674193319e-13      -6.321312721834e-12       1.090030573466e-15       3.336685815775e-12       6.314385014322e-13      -4.492728085390e-15 
  146       6.913007093544e-10       3.828781272881e-13      -6.403445649103e-12       1.105112969063e-15       3.270764440416e-12       6.222570877876e-13      -4.435203595534e-15 
  147       6.957181712116e-10       3.849842936886e-13      -6.483069595614e-12       1.120321192036e-15       3.206420618836e-12       6.132815196384e-13      -4.378267835997e-15 
  148       7.001408358536e-10       3.869851574000e-13      -6.560107651447e-12       1.135656006403e-15       3.143649559424e-12       6.045095619778e-13      -4.321886654677e-15 
  149       7.045678426489e-10       3.888800567671e-13      -6.634483736374e-12       1.151118181104e-15       3.082440739457e-12       5.959380763631e-13      -4.266020170106e-15 
  150       7.089982318066e-10       3.906684318112e-13      -6.706122641240e-12       1.166708489888e-15       3.022777768869e-12       5.875629998687e-13      -4.210622643506e-15 
  151       7.134309420136e-10       3.923498264292e-13      -6.774950069349e-12       1.182427711199e-15       2.964638254034e-12       5.793793240382e-13      -4.155642350836e-15 
  152       7.178648080723e-10       3.939238905918e-13      -6.840892677852e-12       1.198276628052e-15       2.907993661536e-12       5.713810738374e-13      -4.101021454846e-15 
  153       7.222985585380e-10       3.953903825423e-13      -6.903878119128e-12       1.214256027924e-15       2.852809181943e-12       5.635612866063e-13      -4.046695877130e-15 
  154       7.267308133564e-10       3.967491709955e-13      -6.963835082171e-12       1.230366702631e-15       2.799043593582e-12       5.559119910121e-13      -3.992595170174e-15 
  155       7.311600815014e-10       3.980002373359e-13      -7.020693333974e-12       1.246609448217e-15       2.746649126317e-12       5.484241860011e-13      -3.938642389412e-15 
  156       7.355847586124e-10       3.991436778167e-13      -7.074383760915e-12       1.262985064832e-15       2.695571325319e-12       5.410878197520e-13      -3.884753965277e-15 
  157       7.400031246319e-10       4.001797057581e-13      -7.124838410141e-12       1.279494356617e-15       2.645748914842e-12       5.338917686276e-13      -3.830839575252e-15 
  158       7.444133414431e-10       4.011086537464e-13      -7.171990530954e-12       1.296138131589e-15       2.597113662000e-12       5.268238161280e-13      -3.776802015919e-15 
  159       7.488134505074e-10       4.019309758323e-13      -7.215774616193e-12       1.312917201522e-15       2.549590240537e-12       5.198706318427e-13      -3.722537075018e-15 
  160       7.532013705019e-10       4.026472497295e-13      -7.256126443625e-12       1.329832381833e-15       2.503096094607e-12       5.130177504031e-13      -3.667933403493e-15 
  161       7.575751417782e-10       4.032581777380e-13      -7.292983712772e-12       1.346884453225e-15       2.457558301093e-12       5.062526669535e-13      -3.612898918992e-15 
  162       7.619336889922e-10       4.037645849896e-13      -7.326287931834e-12       1.364074043071e-15       2.412966118322e-12       4.995744753736e-13      -3.557442908935e-15 
  163       7.662761217147e-10       4.041674252481e-13      -7.355982777504e-12       1.381401733271e-15       2.369322845661e-12       4.929850461324e-13      -3.501600977308e-15 
  164       7.706014924586e-10       4.044677843466e-13      -7.382013558298e-12       1.398868097252e-15       2.326629185366e-12       4.864859797736e-13      -3.445409160405e-15 
  165       7.749087954519e-10       4.046668823802e-13      -7.404327258685e-12       1.416473699680e-15       2.284883184559e-12       4.800786002063e-13      -3.388903920944e-15 
  166       7.791969654114e-10       4.047660758988e-13      -7.422872583206e-12       1.434219096160e-15       2.244080177217e-12       4.737639479970e-13      -3.332122142188e-15 
