# dimensionless [l(l+1)/2pi] C_l's for scalar adiabatic (AD) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   79       2.901651859709e-10       5.799900640344e-14      -1.356158363804e-12       0.000000000000e+00       1.692656381489e-11       2.233025399045e-12      -8.458246797587e-15 
   80       2.938879016486e-10       5.992065854537e-14      -1.428940744842e-12       0.000000000000e+00       1.640387023417e-11       2.175872230998e-12      -8.348322343037e-15 
   81       2.976428011563e-10       6.186106162886e-14      -1.503019778065e-12       0.000000000000e+00       1.590273702838e-11       2.120922180469e-12      -8.240916967987e-15 
   82       3.014296390098e-10       6.381859662976e-14      -1.578350371383e-12       0.000000000000e+00       1.542171154299e-11       2.068013692133e-12      -8.135672575760e-15 
   83       3.052478144258e-10       6.579156632068e-14      -1.654885278214e-12       0.000000000000e+00       1.495893972077e-11       2.016940798875e-12      -8.032138440580e-15 
   84       3.090966790617e-10       6.777826135922e-14      -1.732575960765e-12       0.000000000000e+00       1.451261473558e-11       1.967505212757e-12      -7.929986485958e-15 
   85       3.129765567807e-10       6.977717364610e-14      -1.811375360704e-12       0.000000000000e+00       1.408244243207e-11       1.919686306171e-12      -7.829706149385e-15 
   86       3.168878619826e-10       7.178681640493e-14      -1.891235576221e-12       0.000000000000e+00       1.366839142515e-11       1.873496271920e-12      -7.732018530803e-15 
   87       3.208307779028e-10       7.380566008155e-14      -1.972107039142e-12       0.000000000000e+00       1.327024286146e-11       1.828927997449e-12      -7.637667709336e-15 
   88       3.248052447604e-10       7.583213233036e-14      -2.053938522086e-12       0.000000000000e+00       1.288758266058e-11       1.785954240909e-12      -7.547420759795e-15 
   89       3.288109479072e-10       7.786461800062e-14      -2.136677145608e-12       0.000000000000e+00       1.251979375620e-11       1.744526807216e-12      -7.462067769177e-15 
   90       3.328473059752e-10       7.990145912266e-14      -2.220268385354e-12       0.000000000000e+00       1.216604833733e-11       1.704575724110e-12      -7.382421853168e-15 
   91       3.369134590258e-10       8.194095489426e-14      -2.304656079208e-12       0.000000000000e+00       1.182530008944e-11       1.666008418220e-12      -7.309319172640e-15 
   92       3.410082566974e-10       8.398136166688e-14      -2.389782434445e-12       0.000000000000e+00       1.149627643569e-11       1.628708891123e-12      -7.243618950162e-15 
   93       3.451306073788e-10       8.602091638625e-14      -2.475588703950e-12       0.000000000000e+00       1.117777925701e-11       1.592565515351e-12      -7.185920675365e-15 
   94       3.492806115427e-10       8.805791097684e-14      -2.562017315696e-12       0.000000000000e+00       1.086965564166e-11       1.557560994153e-12      -7.135667032401e-15 
   95       3.534585777461e-10       9.009062917151e-14      -2.649010078246e-12       0.000000000000e+00       1.057195947056e-11       1.523694471265e-12      -7.091905455435e-15 
   96       3.576646699899e-10       9.211732435815e-14      -2.736507556342e-12       0.000000000000e+00       1.028465247017e-11       1.490953691205e-12      -7.053555104351e-15 
   97       3.618989008231e-10       9.413621988790e-14      -2.824449087235e-12       0.000000000000e+00       1.000760068814e-11       1.459314568196e-12      -7.019402999160e-15 
   98       3.661611244469e-10       9.614550938342e-14      -2.912772797020e-12       0.000000000000e+00       9.740570968932e-12       1.428740755089e-12      -6.988100154391e-15 
   99       3.704510298185e-10       9.814335704709e-14      -3.001415616973e-12       0.000000000000e+00       9.483227429411e-12       1.399183212284e-12      -6.958157713496e-15 
  100       3.747681337555e-10       1.001278979693e-13      -3.090313299882e-12       0.000000000000e+00       9.235127934511e-12       1.370579776653e-12      -6.927943083247e-15 
  101       3.791117740398e-10       1.020972384366e-13      -3.179400436382e-12       0.000000000000e+00       8.995720572844e-12       1.342854730462e-12      -6.895676068138e-15 
  102       3.834811025218e-10       1.040494562400e-13      -3.268610471293e-12       0.000000000000e+00       8.764340132321e-12       1.315918370293e-12      -6.859425004782e-15 
  103       3.878750782241e-10       1.059826009833e-13      -3.357875719949e-12       0.000000000000e+00       8.540204575783e-12       1.289666575969e-12      -6.817102896313e-15 
  104       3.922926893346e-10       1.078947423136e-13      -3.447127894918e-12       0.000000000000e+00       8.322591676225e-12       1.264005501201e-12      -6.766963964572e-15 
  105       3.967336681897e-10       1.097841213699e-13      -3.536299731989e-12       0.000000000000e+00       8.111403688078e-12       1.238930372587e-12      -6.709178025224e-15 
  106       4.011978604679e-10       1.116490204631e-13      -3.625323615307e-12       0.000000000000e+00       7.906672739446e-12       1.214456581116e-12      -6.644462571254e-15 
  107       4.056850005993e-10       1.134877178048e-13      -3.714131108284e-12       0.000000000000e+00       7.708385958132e-12       1.190595357835e-12      -6.573602960555e-15 
  108       4.101947073837e-10       1.152984883427e-13      -3.802652975538e-12       0.000000000000e+00       7.516483927037e-12       1.167353618836e-12      -6.497454049428e-15 
  109       4.147264796110e-10       1.170796045953e-13      -3.890819204845e-12       0.000000000000e+00       7.330859139565e-12       1.144733810246e-12      -6.416941826073e-15 
  110       4.192796916798e-10       1.188293374862e-13      -3.978559029071e-12       0.000000000000e+00       7.151354455020e-12       1.122733753204e-12      -6.333065044092e-15 
  111       4.238535892172e-10       1.205459571801e-13      -4.065800948124e-12       0.000000000000e+00       6.977761554008e-12       1.101346488852e-12      -6.246896855979e-15 
  112       4.284472846977e-10       1.222277339163e-13      -4.152472750892e-12       0.000000000000e+00       6.809819393840e-12       1.080560123320e-12      -6.159586446619e-15 
