#scalar perturbations for mode k = 1.000000000000e-02 Mpc^(-1)
#    1:tau [Mpc]              2:a                      3:delta_g                4:theta_g                5:shear_g                6:pol0_g                 7:pol1_g                 8:pol2_g                 9:delta_b               10:theta_b               11:psi                   12:phi                   13:delta_ur              14:theta_ur              15:shear_ur              16:delta_idr             17:theta_idr             18:shear_idr             19:delta_cdm             20:theta_cdm          
       9.779780869739e+00       2.285079114287e-05      -1.199001250713e+00       2.873596402128e-04       1.186361198786e-07       2.965902996965e-07       6.892186419164e-13       5.931805993931e-08      -8.992509380356e-01       2.873596413707e-04       5.916036764074e-01       7.007191473382e-01      -1.199000952900e+00       2.872331825113e-04       3.754687255871e-04      -1.199000952910e+00       2.872331916635e-04       3.753928177609e-04      -8.992513880998e-01       2.876129194240e-04 
       9.988556674965e+00       2.334686140113e-05      -1.199419166796e+00       2.934521438217e-04       1.264668223682e-07       3.161670559206e-07       7.669573548792e-13       6.323341118412e-08      -8.995643750981e-01       2.934521451575e-04       5.916091091457e-01       7.006348782372e-01      -1.199418832628e+00       2.933173380455e-04       3.916238472997e-04      -1.199418832641e+00       2.933173488654e-04       3.915399361881e-04      -8.995648797431e-01       2.937218450603e-04 
       1.024774097706e+01       2.396318714657e-05      -1.199940931097e+00       3.010128079051e-04       1.366622349037e-07       3.416555872593e-07       8.731226960099e-13       6.833111745185e-08      -8.999556983249e-01       3.010128094864e-04       5.916155743747e-01       7.005301165153e-01      -1.199940548482e+00       3.008671328991e-04       4.121501463806e-04      -1.199940548499e+00       3.008671460275e-04       4.120558253143e-04      -8.999562756149e-01       3.013038555459e-04 
       1.050692527916e+01       2.458004495674e-05      -1.200466010102e+00       3.085702847305e-04       1.473960652828e-07       3.684901632069e-07       9.908064743109e-13       7.369803264138e-08      -9.003495075786e-01       3.085702865869e-04       5.916217303797e-01       7.004251791821e-01      -1.200465575183e+00       3.084131662410e-04       4.331974139919e-04      -1.200465575205e+00       3.084131819546e-04       4.330921450215e-04      -9.003501631866e-01       3.088837657450e-04 
       1.076610958126e+01       2.519743483164e-05      -1.200994396702e+00       3.161245398296e-04       1.586826178882e-07       3.967065447205e-07       1.120932904253e-12       7.934130894410e-08      -9.007457975290e-01       3.161245419929e-04       5.916275895435e-01       7.003200677374e-01      -1.200993905424e+00       3.159553883117e-04       4.547653520321e-04      -1.200993905452e+00       3.159554069014e-04       4.546485837810e-04      -9.007465374129e-01       3.164615671288e-04 
       1.102529388336e+01       2.581535677127e-05      -1.201526114889e+00       3.236755476345e-04       1.705362327621e-07       4.263405819052e-07       1.264475816035e-12       8.526811638103e-08      -9.011445861698e-01       3.236755501392e-04       5.916331562813e-01       7.002147759040e-01      -1.201525562990e+00       3.234937582167e-04       4.768536585308e-04      -1.201525563025e+00       3.234937799878e-04       4.767248262062e-04      -9.011454165794e-01       3.240372599926e-04 
       1.128447818546e+01       2.643381077564e-05      -1.202061177956e+00       3.312232802905e-04       1.829712803357e-07       4.574282008393e-07       1.422460057972e-12       9.148564016785e-08      -9.015458834711e-01       3.312232831735e-04       5.916384360951e-01       7.001093000768e-01      -1.202060560962e+00       3.310282327401e-04       4.994620275988e-04      -1.202060561005e+00       3.310282580126e-04       4.993205530026e-04      -9.015468109547e-01       3.316108422688e-04 
       1.154366248756e+01       2.705279684474e-05      -1.202599617653e+00       3.387677160093e-04       1.960021657987e-07       4.900054144968e-07       1.595962976884e-12       9.800108289935e-08      -9.019497132445e-01       3.387677193104e-04       5.916434295359e-01       7.000036320345e-01      -1.202598930872e+00       3.385587746977e-04       5.225901496314e-04      -1.202598930925e+00       3.385588038069e-04       5.224354411720e-04      -9.019507446555e-01       3.391823178800e-04 
       1.180284678966e+01       2.767231497856e-05      -1.203141415891e+00       3.463088187954e-04       2.096433174465e-07       5.241082936162e-07       1.786115782371e-12       1.048216587232e-07      -9.023560619241e-01       3.463088225574e-04       5.916481468383e-01       6.998977760130e-01      -1.203140654410e+00       3.460853326636e-04       5.462377111344e-04      -1.203140654474e+00       3.460853659603e-04       5.460691638378e-04      -9.023572044276e-01       3.467516764658e-04 
       1.216456614936e+01       2.853780809622e-05      -1.203903211102e+00       3.568276169921e-04       2.297285373393e-07       5.743213433482e-07       2.081583197668e-12       1.148642686696e-07      -9.029274083339e-01       3.568276214746e-04       5.916542700520e-01       6.997497169532e-01      -1.203902336724e+00       3.565827143934e-04       5.801081336044e-04      -1.203902336805e+00       3.565827541504e-04       5.799192361250e-04      -9.029287184606e-01       3.573119895800e-04 
       1.252628550907e+01       2.940433752603e-05      -1.204671639381e+00       3.673398118709e-04       2.510699874658e-07       6.276749686646e-07       2.415211674196e-12       1.255349937329e-07      -9.035037295444e-01       3.673398171718e-04       5.916598601417e-01       6.996012675136e-01      -1.204670641455e+00       3.670721524527e-04       6.149887838610e-04      -1.204670641557e+00       3.670721994284e-04       6.147782955344e-04      -9.035052227585e-01       3.678681866199e-04 
       1.288800486878e+01       3.027190326799e-05      -1.205446692641e+00       3.778453214175e-04       2.737071960106e-07       6.842679900264e-07       2.790636493520e-12       1.368535980053e-07      -9.040850194922e-01       3.778453276440e-04       5.916649299426e-01       6.994524289140e-01      -1.205445559861e+00       3.775535225517e-04       6.508787723584e-04      -1.205445559987e+00       3.775535775498e-04       6.506454162603e-04      -9.040867121699e-01       3.784202545122e-04 
       1.324972422848e+01       3.114050532210e-05      -1.206228396289e+00       3.883440755421e-04       2.976798138007e-07       7.441995345016e-07       3.211724587232e-12       1.488399069003e-07      -9.046712972303e-01       3.883440828114e-04       5.916694834712e-01       6.993031939934e-01      -1.206227116670e+00       3.880267121985e-04       6.877771949497e-04      -1.206227116825e+00       3.880267760696e-04       6.875196579430e-04      -9.046732066852e-01       3.889681918213e-04 
