# dimensionless [l(l+1)/2pi] C_l's for scalar dark radiation density isocurvature (DRID) mode
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  101       1.348716236846e-10       1.060371431603e-13       1.655673575561e-12       0.000000000000e+00       1.032030643902e-13       9.629146483950e-15      -3.489375748785e-16 
  102       1.337325276533e-10       1.088057012275e-13       1.637281533603e-12       0.000000000000e+00       1.009093155135e-13       9.474305722066e-15      -3.513274071481e-16 
  103       1.326046695639e-10       1.115967598386e-13       1.617722273048e-12       0.000000000000e+00       9.867456570195e-14       9.327340445190e-15      -3.536295118726e-16 
  104       1.314875595663e-10       1.144090737315e-13       1.596999687417e-12       0.000000000000e+00       9.649354451460e-14       9.187966244401e-15      -3.558566475797e-16 
  105       1.303822635956e-10       1.172414564498e-13       1.575118643962e-12       0.000000000000e+00       9.436594216538e-14       9.056062512758e-15      -3.580122108180e-16 
  106       1.292901356599e-10       1.200927115346e-13       1.552084876716e-12       0.000000000000e+00       9.229244936834e-14       8.931512155516e-15      -3.600972660358e-16 
  107       1.282123676280e-10       1.229616082350e-13       1.527904952606e-12       0.000000000000e+00       9.027335598219e-14       8.814144130210e-15      -3.621130182982e-16 
  108       1.271499821906e-10       1.258468813512e-13       1.502586277203e-12       0.000000000000e+00       8.830853679345e-14       8.703731731370e-15      -3.640608155442e-16 
  109       1.261038258212e-10       1.287472310784e-13       1.476137100451e-12       0.000000000000e+00       8.639743729960e-14       8.599990875222e-15      -3.659421508427e-16 
  110       1.250745617362e-10       1.316613228495e-13       1.448566522416e-12       0.000000000000e+00       8.453905949220e-14       8.502578384402e-15      -3.677586646494e-16 
  111       1.240626628563e-10       1.345877871792e-13       1.419884499018e-12       0.000000000000e+00       8.273194763997e-14       8.411090272658e-15      -3.695121470631e-16 
  112       1.230684047666e-10       1.375252195068e-13       1.390101847772e-12       0.000000000000e+00       8.097417407201e-14       8.325060029564e-15      -3.712045400828e-16 
  113       1.220918586780e-10       1.404721800401e-13       1.359230253530e-12       0.000000000000e+00       7.926332496083e-14       8.243956905221e-15      -3.728379398638e-16 
  114       1.211328843874e-10       1.434271935985e-13       1.327282274217e-12       0.000000000000e+00       7.759648610558e-14       8.167184194973e-15      -3.744145989741e-16 
  115       1.201911232384e-10       1.463887494566e-13       1.294271346573e-12       0.000000000000e+00       7.597022871508e-14       8.094077524110e-15      -3.759369286517e-16 
  116       1.192663016141e-10       1.493553296100e-13       1.260211388973e-12       0.000000000000e+00       7.438141986893e-14       8.024037088979e-15      -3.774068189583e-16 
  117       1.183591983235e-10       1.523254978079e-13       1.225115542838e-12       0.000000000000e+00       7.282979608299e-14       7.956946287657e-15      -3.788235006466e-16 
  118       1.174707821597e-10       1.552978211013e-13       1.188997288272e-12       0.000000000000e+00       7.131567740021e-14       7.892801002731e-15      -3.801854263642e-16 
  119       1.166019076452e-10       1.582708424831e-13       1.151870835436e-12       0.000000000000e+00       6.983916386001e-14       7.831579673971e-15      -3.814909257618e-16 
  120       1.157533107383e-10       1.612430809825e-13       1.113751126728e-12       0.000000000000e+00       6.840012857300e-14       7.773242767445e-15      -3.827382017192e-16 
  121       1.149256045396e-10       1.642130317598e-13       1.074653838955e-12       0.000000000000e+00       6.699821079569e-14       7.717732244640e-15      -3.839253265708e-16 
  122       1.141192749982e-10       1.671791662012e-13       1.034595385517e-12       0.000000000000e+00       6.563280900522e-14       7.664971031566e-15      -3.850502383307e-16 
  123       1.133346766180e-10       1.701399320133e-13       9.935929185788e-13       0.000000000000e+00       6.430307397402e-14       7.614862487881e-15      -3.861107369193e-16 
  124       1.125720281645e-10       1.730937533180e-13       9.516643312465e-13       0.000000000000e+00       6.300790184457e-14       7.567289875999e-15      -3.871044803879e-16 
  125       1.118314083705e-10       1.760390307470e-13       9.088282597470e-13       0.000000000000e+00       6.174592720410e-14       7.522115830209e-15      -3.880289811449e-16 
  126       1.111127516429e-10       1.789741415369e-13       8.651040856030e-13       0.000000000000e+00       6.051551615928e-14       7.479181825787e-15      -3.888816021814e-16 
  127       1.104158437692e-10       1.818974396235e-13       8.205119378102e-13       0.000000000000e+00       5.931475941096e-14       7.438307648110e-15      -3.896595532963e-16 
  128       1.097403176234e-10       1.848072557367e-13       7.750726950143e-13       0.000000000000e+00       5.814146532887e-14       7.399290861775e-15      -3.903598873225e-16 
  129       1.090858868323e-10       1.877019319234e-13       7.288076613926e-13       0.000000000000e+00       5.699366064606e-14       7.361947761632e-15      -3.909804570324e-16 
  130       1.084530848753e-10       1.905799291977e-13       6.817375494763e-13       0.000000000000e+00       5.587116935346e-14       7.326242432713e-15      -3.915229125579e-16 
  131       1.078425993284e-10       1.934397319339e-13       6.338833893370e-13       0.000000000000e+00       5.477419473096e-14       7.292170910981e-15      -3.919900271891e-16 
  132       1.072550386065e-10       1.962798148347e-13       5.852668447224e-13       0.000000000000e+00       5.370282399319e-14       7.259720738771e-15      -3.923847692385e-16 
  133       1.066909293729e-10       1.990986432723e-13       5.359102128982e-13       0.000000000000e+00       5.265702499660e-14       7.228870730733e-15      -3.927103051411e-16 
  134       1.061507139481e-10       2.018946736293e-13       4.858364244902e-13       0.000000000000e+00       5.163664294653e-14       7.199590739777e-15      -3.929700025540e-16 
  135       1.056347477195e-10       2.046663536399e-13       4.350690433263e-13       0.000000000000e+00       5.064139710423e-14       7.171841423018e-15      -3.931674334567e-16 
  136       1.051432965498e-10       2.074121227309e-13       3.836322662780e-13       0.000000000000e+00       4.967087749392e-14       7.145574007718e-15      -3.933063772508e-16 
  137       1.046765341867e-10       2.101304123627e-13       3.315509231029e-13       0.000000000000e+00       4.872454160987e-14       7.120730057232e-15      -3.933908238595e-16 
  138       1.042345396715e-10       2.128196463707e-13       2.788504762861e-13       0.000000000000e+00       4.780171112341e-14       7.097241236954e-15      -3.934249768281e-16 
  139       1.038172947486e-10       2.154782413058e-13       2.255570208827e-13       0.000000000000e+00       4.690156859003e-14       7.075029080257e-15      -3.934132564236e-16 
  140       1.034246812746e-10       2.181046067760e-13       1.716972843591e-13       0.000000000000e+00       4.602315415638e-14       7.054004754439e-15      -3.933603027344e-16 
  141       1.030564786272e-10       2.206971457872e-13       1.172986264355e-13       0.000000000000e+00       4.516536226738e-14       7.034068826670e-15      -3.932709787706e-16 
  142       1.027123611144e-10       2.232542550844e-13       6.238903892753e-14       0.000000000000e+00       4.432693837322e-14       7.015111029931e-15      -3.931503735634e-16 
  143       1.023918953837e-10       2.257743254925e-13       6.997145588215e-15       0.000000000000e+00       4.350647563643e-14       6.997010028962e-15      -3.930038052653e-16 
  144       1.020947196265e-10       2.282557805874e-13      -4.884839249344e-14       0.000000000000e+00       4.270272350615e-14       6.979656666742e-15      -3.928355393284e-16 
  145       1.018211065730e-10       2.306971962845e-13      -1.051207264303e-13       0.000000000000e+00       4.191555467855e-14       6.963026780976e-15      -3.926447940700e-16 
  146       1.015714513343e-10       2.330971937433e-13      -1.617931534881e-13       0.000000000000e+00       4.114508764980e-14       6.947115154833e-15      -3.924293453687e-16 
  147       1.013460930587e-10       2.354544026524e-13      -2.188385425584e-13       0.000000000000e+00       4.039138192162e-14       6.931912582781e-15      -3.921867719779e-16 
  148       1.011453133855e-10       2.377674617913e-13      -2.762293377325e-13       0.000000000000e+00       3.965443650069e-14       6.917405771484e-15      -3.919144512419e-16 
  149       1.009693348987e-10       2.400350195913e-13      -3.339375618759e-13       0.000000000000e+00       3.893418839802e-14       6.903577240687e-15      -3.916095548100e-16 
  150       1.008183195814e-10       2.422557346971e-13      -3.919348202032e-13       0.000000000000e+00       3.823051112836e-14       6.890405224111e-15      -3.912690443529e-16 
  151       1.006923672692e-10       2.444282765282e-13      -4.501923038519e-13       0.000000000000e+00       3.754321320960e-14       6.877863570336e-15      -3.908896672772e-16 
  152       1.005915141047e-10       2.465513258401e-13      -5.086807934570e-13       0.000000000000e+00       3.687203666214e-14       6.865921643697e-15      -3.904679524411e-16 
  153       1.005157309907e-10       2.486235752857e-13      -5.673706627256e-13       0.000000000000e+00       3.621665550830e-14       6.854544225172e-15      -3.900002058693e-16 
  154       1.004649220446e-10       2.506437299768e-13      -6.262318820112e-13       0.000000000000e+00       3.557667427171e-14       6.843691413270e-15      -3.894825064688e-16 
  155       1.004389230525e-10       2.526105080452e-13      -6.852340218878e-13       0.000000000000e+00       3.495162647669e-14       6.833318524923e-15      -3.889107017436e-16 
  156       1.004374999225e-10       2.545226412042e-13      -7.443462567250e-13       0.000000000000e+00       3.434097314765e-14       6.823375996374e-15      -3.882804035104e-16 
  157       1.004603471389e-10       2.563788753100e-13      -8.035373682617e-13       0.000000000000e+00       3.374410130851e-14       6.813809284069e-15      -3.875869836135e-16 
  158       1.005070862165e-10       2.581779709229e-13      -8.627757491807e-13       0.000000000000e+00       3.316032248205e-14       6.804558765544e-15      -3.868255696407e-16 
  159       1.005772641538e-10       2.599187038687e-13      -9.220294066836e-13       0.000000000000e+00       3.258887118931e-14       6.795559640318e-15      -3.859910406377e-16 
  160       1.006703518875e-10       2.615998658003e-13      -9.812659660643e-13       0.000000000000e+00       3.202890344902e-14       6.786741830780e-15      -3.850780228241e-16 
  161       1.007858818412e-10       2.632202978931e-13      -1.040453347299e-12       0.000000000000e+00       3.147967534057e-14       6.778043028751e-15      -3.840821893573e-16 
  162       1.009238774869e-10       2.647789941033e-13      -1.099561854547e-12       0.000000000000e+00       3.094109958886e-14       6.769449339773e-15      -3.830042977900e-16 
  163       1.010844589930e-10       2.662750081567e-13      -1.158562279123e-12       0.000000000000e+00       3.041323556097e-14       6.760958060422e-15      -3.818465031293e-16 
  164       1.012677066467e-10       2.677074219433e-13      -1.217425249714e-12       0.000000000000e+00       2.989611296263e-14       6.752564817583e-15      -3.806110876013e-16 
  165       1.014736599480e-10       2.690753462312e-13      -1.276121239058e-12       0.000000000000e+00       2.938973116603e-14       6.744263529822e-15      -3.793004623665e-16 
  166       1.017023167034e-10       2.703779213806e-13      -1.334620570607e-12       0.000000000000e+00       2.889405853769e-14       6.736046368760e-15      -3.779171692348e-16 
  167       1.019536321202e-10       2.716143180574e-13      -1.392893425203e-12       0.000000000000e+00       2.840903176629e-14       6.727903720441e-15      -3.764638823801e-16 
  168       1.022275178999e-10       2.727837379470e-13      -1.450909847748e-12       0.000000000000e+00       2.793455519049e-14       6.719824146704e-15      -3.749434100559e-16 
  169       1.025238413321e-10       2.738854144681e-13      -1.508639753871e-12       0.000000000000e+00       2.747050012683e-14       6.711794346556e-15      -3.733586963100e-16 
  170       1.028424243888e-10       2.749186134867e-13      -1.566052936606e-12       0.000000000000e+00       2.701670419751e-14       6.703799117543e-15      -3.717128226997e-16 
